area_mean_px,area_median_px,aspect_ratio_mean,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,ecc_mean,ecc_median,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
427.4,425.5,1.2344,0.0,54,183.6,121.2,124.2,0.9585,0.0785,0.5335,0.5266,IMG_5145.jpg,73.1,294137,0.988,322.2,1100,cellpose,0.688,825
441.3,442.0,1.1222,0.023,43,147.2,118.4,130.4,1.0566,0.0649,0.4015,0.3992,IMG_5146.jpg,77.3,292201,0.986,321.9,1100,cellpose,0.688,825
477.5,459.0,1.2066,0.0,84,289.4,106.0,152.6,1.2029,0.1382,0.5348,0.5473,IMG_5147.jpg,87.5,290273,0.982,320.5,1100,cellpose,0.688,825
450.3,453.5,1.213,0.024,82,284.3,117.2,128.6,1.0907,0.128,0.5147,0.5196,IMG_5148.jpg,74.3,288413,0.984,319.3,1100,cellpose,0.688,825
628.0,630.0,1.2721,0.0,65,225.4,102.8,154.5,1.1763,0.1415,0.5836,0.5966,IMG_5149.jpg,72.4,288413,0.975,319.8,1100,cellpose,0.688,825
481.3,474.0,1.1992,0.0,67,232.3,108.4,149.6,1.0322,0.1118,0.5267,0.5224,IMG_5150.jpg,84.3,288413,0.985,319.4,1100,cellpose,0.688,825
482.6,458.0,1.1345,0.019,52,179.1,115.5,135.1,1.0532,0.0865,0.4394,0.435,IMG_5151.jpg,76.2,290273,0.987,320.2,1100,cellpose,0.688,825
369.6,290.0,1.4371,0.028,36,124.0,126.9,122.6,0.7445,0.0458,0.6754,0.6628,IMG_5152.jpg,70.4,290273,0.983,320.4,1100,cellpose,0.688,825
601.7,586.0,1.2236,0.0,21,71.9,103.3,158.1,1.0025,0.0432,0.5425,0.5568,IMG_5153.jpg,55.0,292201,0.984,321.6,1100,cellpose,0.688,825
264.8,257.0,1.3671,0.019,317,1287.3,148.1,110.9,1.4774,0.3409,0.6448,0.6631,IMG_5154.jpg,64.8,246253,0.963,295.1,1100,cellpose,0.688,825
404.7,404.0,1.2141,0.069,173,592.1,118.0,114.7,1.2925,0.2396,0.5218,0.5176,IMG_5155.jpg,133.1,292201,0.974,321.7,1100,cellpose,0.688,825
340.6,314.0,1.564,0.058,103,354.8,125.7,113.8,1.1578,0.1208,0.7121,0.7593,IMG_5156.jpg,113.0,290273,0.968,321.0,1100,cellpose,0.688,825
251.6,243.0,1.3001,0.02,345,1431.5,133.8,114.4,1.5018,0.3602,0.5723,0.5734,IMG_5157.jpg,56.5,241009,0.963,291.8,1100,cellpose,0.688,825
360.7,350.5,1.193,0.038,210,877.6,119.2,118.3,1.34,0.3166,0.5057,0.527,IMG_5158.jpg,106.1,239277,0.975,291.3,1100,cellpose,0.688,825
403.1,394.0,1.176,0.03,236,823.9,112.8,123.3,1.4691,0.3321,0.4858,0.4736,IMG_5159.jpg,112.6,286453,0.976,318.2,1100,cellpose,0.688,825
378.3,379.0,1.1743,0.012,243,837.1,116.0,121.0,1.4343,0.3167,0.4791,0.4758,IMG_5160.jpg,136.3,290273,0.978,320.6,1100,cellpose,0.688,825
385.6,386.0,1.1887,0.014,209,715.3,117.7,119.7,1.328,0.2758,0.4984,0.4984,IMG_5161.jpg,142.0,292201,0.976,321.7,1100,cellpose,0.688,825
455.4,451.5,1.2326,0.013,380,1309.1,119.8,121.2,1.6453,0.5962,0.5542,0.569,IMG_5162.jpg,161.7,290273,0.976,320.3,1100,cellpose,0.688,825
