bg_contrast,edge_density,file,focus_var,fov_area_px,mean_intensity,texture_energy,texture_occupancy
40.79,0.1789,IMG_5419.jpg,271.4,580833,176.4,30.284,0.623
36.08,0.1673,IMG_5420.jpg,239.7,605381,164.5,26.2,0.5029
31.54,0.1444,IMG_5421.jpg,394.9,608189,166.7,22.105,0.4367
33.55,0.1269,IMG_5422.jpg,447.2,605381,173.2,22.482,0.3711
35.74,0.1578,IMG_5423.jpg,638.1,605381,173.5,25.546,0.4555
35.45,0.1475,IMG_5424.jpg,590.1,602645,173.9,25.115,0.4398
29.01,0.0982,IMG_5425.jpg,381.6,605381,172.8,18.189,0.2965
30.75,0.113,IMG_5426.jpg,349.2,602645,171.7,20.059,0.3421
27.88,0.0974,IMG_5427.jpg,183.5,602645,169.8,17.028,0.3138
29.22,0.1111,IMG_5428.jpg,160.9,605381,167.0,18.691,0.3633
25.53,0.1013,IMG_5429.jpg,220.1,605381,164.7,15.959,0.3182
32.18,0.133,IMG_5430.jpg,316.9,608189,165.8,21.927,0.3992
25.74,0.0547,IMG_5431.jpg,48.7,591665,146.9,11.447,0.2269
33.54,0.0654,IMG_5432.jpg,51.1,591665,149.8,13.457,0.2553
34.71,0.07,IMG_5433.jpg,46.2,591665,149.3,14.302,0.2725
26.84,0.0564,IMG_5434.jpg,49.3,591665,153.2,12.101,0.2218
32.83,0.0644,IMG_5435.jpg,49.4,594457,148.1,13.62,0.2568
25.03,0.0512,IMG_5436.jpg,49.2,588973,146.7,10.965,0.2064
25.68,0.0508,IMG_5437.jpg,51.3,591665,153.2,11.172,0.2128
29.1,0.0584,IMG_5438.jpg,51.5,594457,158.0,13.113,0.2741
31.31,0.0477,IMG_5439.jpg,47.6,591665,161.3,12.307,0.2239
30.78,0.041,IMG_5440.jpg,46.0,591665,161.1,11.093,0.2037
24.75,0.0409,IMG_5441.jpg,47.6,594457,156.1,10.465,0.2094
27.1,0.0462,IMG_5442.jpg,46.0,594457,160.8,11.517,0.2291
25.62,0.0401,IMG_5443.jpg,47.2,591665,155.1,10.594,0.2136
30.23,0.0435,IMG_5444.jpg,46.9,594457,162.4,11.503,0.2175
33.79,0.0829,IMG_5445.jpg,99.0,605381,165.2,16.742,0.3614
35.28,0.0679,IMG_5446.jpg,55.1,597129,156.9,14.971,0.3024
34.38,0.0672,IMG_5447.jpg,54.7,597129,160.4,14.855,0.2977
31.39,0.0587,IMG_5448.jpg,48.2,599857,147.3,14.572,0.3118
33.6,0.0815,IMG_5449.jpg,56.9,597129,154.2,16.323,0.3794
33.35,0.0877,IMG_5450.jpg,58.9,597129,150.7,17.418,0.3935
42.19,0.1045,IMG_5451.jpg,61.2,594457,150.5,19.409,0.3563
42.02,0.106,IMG_5452.jpg,58.7,594457,151.6,19.789,0.3682
35.92,0.1824,IMG_5453.jpg,340.6,588973,172.2,26.297,0.5548
30.38,0.1438,IMG_5454.jpg,340.8,610937,169.6,21.441,0.4387
21.36,0.0799,IMG_5455.jpg,181.2,608189,170.2,12.532,0.2853
21.21,0.0663,IMG_5456.jpg,212.3,608189,170.6,12.319,0.2267
22.1,0.08,IMG_5457.jpg,198.2,610937,173.7,12.888,0.2663
21.82,0.0804,IMG_5458.jpg,183.6,613737,173.4,12.845,0.2673
28.97,0.1637,IMG_5459.jpg,165.7,610937,168.7,21.332,0.4724
38.21,0.1813,IMG_5460.jpg,575.6,613737,171.1,28.972,0.5286
28.39,0.1794,IMG_5461.jpg,176.6,605381,169.1,21.576,0.4798
43.87,0.2109,IMG_5462.jpg,609.7,605381,175.5,33.779,0.6052
43.78,0.2072,IMG_5463.jpg,401.6,586165,174.7,33.868,0.6379
42.77,0.229,IMG_5464.jpg,450.7,586165,174.7,34.427,0.6772
50.91,0.1632,IMG_5465.jpg,368.0,1479987,196.5,29.906,0.5606
48.22,0.2516,IMG_5466.jpg,913.4,608189,173.3,40.401,0.6587
41.89,0.2314,IMG_5467.jpg,836.0,613737,175.1,34.237,0.66
34.16,0.2186,IMG_5468.jpg,258.1,602645,170.3,27.723,0.5856
45.62,0.2444,IMG_5469.jpg,817.7,608189,171.5,38.044,0.6463
34.28,0.2233,IMG_5470.jpg,360.2,605381,171.7,28.146,0.5601
37.91,0.2208,IMG_5471.jpg,472.6,605381,167.4,30.878,0.622
44.06,0.2347,IMG_5472.jpg,674.8,570085,177.4,36.691,0.7249
39.17,0.2122,IMG_5473.jpg,308.7,605381,171.5,29.653,0.5298
39.7,0.2362,IMG_5474.jpg,551.0,608189,168.1,33.346,0.641
39.75,0.238,IMG_5475.jpg,545.0,602645,167.7,33.337,0.6433
44.64,0.2359,IMG_5476.jpg,485.0,608189,171.9,36.214,0.5955
45.35,0.2372,IMG_5477.jpg,516.3,608189,168.4,37.355,0.6285
47.03,0.2618,IMG_5478.jpg,915.7,608189,172.6,40.268,0.6742
44.67,0.2392,IMG_5479.jpg,445.4,608189,164.5,36.43,0.5955
41.68,0.2245,IMG_5480.jpg,358.6,605381,165.6,33.582,0.6091
36.01,0.2354,IMG_5481.jpg,431.2,608189,175.2,29.473,0.5731
35.98,0.2364,IMG_5482.jpg,440.2,608189,174.7,29.44,0.5724
43.79,0.2338,IMG_5483.jpg,877.2,608189,175.5,36.224,0.6413
45.86,0.2706,IMG_5484.jpg,945.0,605381,174.0,40.091,0.6666
42.68,0.246,IMG_5485.jpg,790.8,608189,174.6,36.315,0.6676
34.84,0.2162,IMG_5486.jpg,401.5,608189,172.6,28.208,0.5669
44.56,0.2146,IMG_5487.jpg,693.4,608189,172.5,35.266,0.6076
39.75,0.2109,IMG_5488.jpg,713.5,608189,173.5,31.563,0.6232
41.08,0.2154,IMG_5489.jpg,779.1,608189,175.5,32.689,0.6288
42.46,0.1167,IMG_5490.jpg,100.3,610937,159.4,22.188,0.4238
40.4,0.1107,IMG_5491.jpg,82.4,608189,163.5,21.974,0.4561
39.3,0.1193,IMG_5492.jpg,89.1,608189,162.0,21.574,0.4386
39.74,0.1015,IMG_5493.jpg,85.9,608189,164.9,20.197,0.3977
40.17,0.1098,IMG_5494.jpg,100.8,610937,164.5,21.361,0.4057
39.14,0.107,IMG_5495.jpg,89.0,613737,160.2,20.781,0.4146
34.43,0.0901,IMG_5496.jpg,76.1,610937,162.3,18.112,0.3804
38.65,0.1134,IMG_5497.jpg,94.8,613737,156.9,21.578,0.4402
35.31,0.0998,IMG_5498.jpg,92.1,610937,156.9,19.25,0.3946
36.8,0.0979,IMG_5499.jpg,88.1,616473,152.2,19.624,0.3894
35.85,0.0952,IMG_5500.jpg,74.4,613737,158.6,19.109,0.3865
31.0,0.077,IMG_5501.jpg,76.6,610937,157.6,15.851,0.329
32.02,0.0755,IMG_5502.jpg,72.4,613737,157.8,15.935,0.3111
29.32,0.0676,IMG_5503.jpg,90.5,608189,164.0,13.731,0.2526
25.54,0.0551,IMG_5504.jpg,86.0,608189,165.9,12.133,0.207
33.36,0.0706,IMG_5505.jpg,92.6,605381,164.2,14.844,0.2675
28.44,0.0479,IMG_5506.jpg,92.7,605381,169.7,11.201,0.1717
31.68,0.0567,IMG_5507.jpg,85.5,602645,163.3,12.296,0.2632
29.67,0.0566,IMG_5508.jpg,95.2,605381,168.9,12.858,0.2052
28.88,0.0731,IMG_5509.jpg,82.2,608189,165.1,14.667,0.289
37.79,0.0842,IMG_5510.jpg,96.8,605381,165.3,17.378,0.3059
34.61,0.0655,IMG_5511.jpg,89.1,605381,164.0,15.033,0.2447
34.56,0.0674,IMG_5512.jpg,87.2,605381,163.6,15.011,0.2448
37.24,0.0764,IMG_5513.jpg,84.4,608189,164.8,15.936,0.2895
34.9,0.0736,IMG_5514.jpg,86.3,605381,166.0,15.772,0.2779
39.76,0.1473,IMG_5515.jpg,230.6,610937,184.2,26.722,0.5192
40.74,0.1581,IMG_5516.jpg,219.1,613737,183.5,28.162,0.5386
41.5,0.1606,IMG_5517.jpg,267.3,610937,181.6,28.252,0.5433
41.02,0.1523,IMG_5518.jpg,201.9,602645,181.2,27.305,0.5367
38.02,0.1287,IMG_5519.jpg,166.1,602645,184.6,23.701,0.4593
40.02,0.1517,IMG_5520.jpg,291.4,610937,183.8,27.128,0.5085
39.92,0.1519,IMG_5521.jpg,282.8,602645,181.6,26.987,0.5049
35.06,0.1044,IMG_5522.jpg,159.2,605381,187.4,20.424,0.3925
37.22,0.1346,IMG_5523.jpg,266.2,602645,186.6,24.478,0.4502
38.3,0.1804,IMG_5524.jpg,389.9,608189,183.0,28.153,0.5812
38.65,0.1349,IMG_5525.jpg,219.8,602645,185.7,25.234,0.4778
37.56,0.1664,IMG_5526.jpg,352.7,613737,184.6,25.953,0.5358
43.26,0.2497,IMG_5527.jpg,471.3,588973,173.7,36.815,0.687
46.24,0.2787,IMG_5528.jpg,413.0,586165,169.6,40.566,0.6597
45.99,0.2843,IMG_5529.jpg,385.5,586165,168.6,40.481,0.6519
45.59,0.2849,IMG_5530.jpg,377.1,586165,168.3,40.229,0.6449
45.06,0.2939,IMG_5531.jpg,354.2,591665,166.5,40.027,0.5804
45.08,0.3003,IMG_5532.jpg,403.2,597129,166.6,40.428,0.6143
45.01,0.2992,IMG_5533.jpg,401.1,588973,166.4,40.354,0.6096
45.6,0.3027,IMG_5534.jpg,422.4,586165,166.4,40.88,0.63
44.86,0.2994,IMG_5535.jpg,416.1,588973,167.6,40.041,0.6349
44.59,0.3074,IMG_5536.jpg,483.0,583485,168.4,40.221,0.6555
41.66,0.2539,IMG_5537.jpg,172.3,588973,163.0,34.708,0.5426
43.83,0.2688,IMG_5538.jpg,315.5,602645,160.3,37.595,0.5946
44.48,0.2665,IMG_5539.jpg,383.7,605381,160.1,38.27,0.6169
45.94,0.2642,IMG_5540.jpg,511.6,602645,162.6,39.596,0.6251
44.89,0.2519,IMG_5541.jpg,513.7,608189,163.5,37.866,0.6127
38.87,0.1245,IMG_5542.jpg,103.0,608189,156.2,22.949,0.4647
46.39,0.1452,IMG_5543.jpg,93.0,610937,152.9,27.526,0.4861
46.22,0.1421,IMG_5544.jpg,97.3,605381,147.8,25.18,0.421
47.28,0.1427,IMG_5545.jpg,101.2,608189,148.3,27.305,0.4747
44.75,0.1342,IMG_5546.jpg,100.7,610937,155.1,25.587,0.4521
43.04,0.14,IMG_5547.jpg,108.5,608189,159.6,26.391,0.5103
39.99,0.1263,IMG_5548.jpg,104.5,608189,155.8,23.797,0.488
40.17,0.1261,IMG_5549.jpg,101.4,610937,152.8,23.823,0.4919
40.6,0.137,IMG_5550.jpg,107.2,610937,153.1,24.616,0.5162
45.32,0.1521,IMG_5551.jpg,112.5,608189,153.5,28.57,0.5209
43.27,0.1475,IMG_5552.jpg,107.1,610937,152.9,27.263,0.5106
47.04,0.1419,IMG_5553.jpg,84.6,608189,155.4,28.072,0.5022
47.55,0.154,IMG_5554.jpg,84.4,610937,149.8,27.794,0.44
47.29,0.1417,IMG_5555.jpg,98.0,610937,152.4,27.355,0.5066
48.78,0.1539,IMG_5556.jpg,100.7,608189,147.4,28.821,0.4516
46.16,0.1522,IMG_5557.jpg,84.6,608189,147.0,26.353,0.4133
43.57,0.1201,IMG_5558.jpg,60.0,597129,147.2,24.684,0.4808
47.57,0.1292,IMG_5559.jpg,64.0,597129,149.6,27.267,0.4701
48.5,0.1383,IMG_5560.jpg,58.5,599857,140.0,26.124,0.4144
46.16,0.1273,IMG_5561.jpg,67.7,597129,151.1,26.961,0.4977
42.04,0.1309,IMG_5562.jpg,61.0,597129,151.1,26.162,0.5139
47.78,0.1308,IMG_5563.jpg,66.1,597129,147.2,28.462,0.4832
45.48,0.1435,IMG_5564.jpg,69.1,591665,151.2,28.862,0.5026
46.07,0.145,IMG_5565.jpg,70.3,591665,149.4,29.169,0.5018
46.3,0.1556,IMG_5566.jpg,74.7,591665,148.1,30.481,0.5215
47.79,0.1462,IMG_5567.jpg,73.2,591665,147.9,30.165,0.504
