area_mean_px,area_median_px,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
502.4,479.0,0.048,62,215.0,112.2,139.9,1.1279,0.108,IMG_5253.jpg,89.0,288413,0.978,319.2,1100,cellpose,0.688,825
408.1,398.0,0.031,131,445.4,125.0,118.3,1.2511,0.1818,IMG_5254.jpg,126.9,294137,0.973,322.6,1100,cellpose,0.688,825
394.9,401.0,0.022,139,478.9,121.4,119.6,1.1935,0.1891,IMG_5255.jpg,107.7,290273,0.972,320.7,1100,cellpose,0.688,825
429.1,425.0,0.019,159,537.1,115.6,133.0,1.2429,0.2305,IMG_5256.jpg,118.9,296025,0.968,323.3,1100,cellpose,0.688,825
418.0,390.5,0.023,130,447.9,120.1,124.4,1.1967,0.1872,IMG_5257.jpg,119.9,290273,0.969,320.7,1100,cellpose,0.688,825
545.0,423.0,0.036,55,190.7,112.7,131.5,1.1805,0.1039,IMG_5258.jpg,56.2,288413,0.965,319.7,1100,cellpose,0.688,825
356.6,328.0,0.026,117,439.8,126.6,121.3,1.2093,0.1568,IMG_5259.jpg,93.4,266025,0.979,307.0,1100,cellpose,0.688,825
358.4,332.5,0.034,118,443.6,125.2,122.2,1.1999,0.159,IMG_5260.jpg,92.0,266025,0.978,306.9,1100,cellpose,0.688,825
386.3,383.0,0.024,127,431.8,118.2,127.3,1.1809,0.1668,IMG_5261.jpg,113.6,294137,0.973,322.6,1100,cellpose,0.688,825
286.8,265.0,0.061,49,165.5,143.3,106.5,1.0574,0.0475,IMG_5262.jpg,108.7,296025,0.973,323.9,1100,cellpose,0.688,825
350.5,325.0,0.073,55,188.2,125.5,112.6,1.0224,0.066,IMG_5263.jpg,104.6,292201,0.972,321.5,1100,cellpose,0.688,825
396.8,384.0,0.014,141,482.5,119.0,129.9,1.1241,0.1915,IMG_5264.jpg,128.1,292201,0.973,321.3,1100,cellpose,0.688,825
384.1,378.0,0.021,95,320.9,128.8,112.3,1.1024,0.1233,IMG_5265.jpg,123.0,296025,0.974,323.3,1100,cellpose,0.688,825
312.5,271.0,0.0,19,65.9,148.4,108.2,0.8201,0.0206,IMG_5274.jpg,74.0,288413,0.981,319.8,1100,cellpose,0.688,825
438.5,449.0,0.0,52,180.3,122.2,132.9,0.9276,0.0791,IMG_5275.jpg,81.7,288413,0.98,319.4,1100,cellpose,0.688,825
395.3,415.0,0.0,31,107.5,128.5,123.9,0.9285,0.0425,IMG_5276.jpg,78.0,288413,0.983,319.6,1100,cellpose,0.688,825
462.9,447.5,0.0,70,242.7,114.8,139.2,1.0521,0.1123,IMG_5277.jpg,85.3,288413,0.968,319.8,1100,cellpose,0.688,825
487.3,450.0,0.022,92,316.9,113.1,142.2,1.1455,0.1544,IMG_5278.jpg,86.2,290273,0.975,320.5,1100,cellpose,0.688,825
469.9,449.0,0.013,79,275.8,116.8,132.3,1.037,0.1296,IMG_5279.jpg,92.0,286453,0.977,318.9,1100,cellpose,0.688,825
337.1,283.0,0.119,67,233.9,126.3,116.1,0.9489,0.0788,IMG_5280.jpg,98.7,286453,0.977,318.9,1100,cellpose,0.688,825
363.6,347.0,0.113,53,185.0,126.5,113.1,1.0181,0.0673,IMG_5281.jpg,90.6,286453,0.974,318.0,1100,cellpose,0.688,825
472.2,490.0,0.029,69,237.7,127.9,117.0,1.0615,0.1123,IMG_5282.jpg,87.9,290273,0.982,320.4,1100,cellpose,0.688,825
430.2,422.0,0.0,86,298.2,116.2,131.1,1.1216,0.1283,IMG_5283.jpg,97.7,288413,0.976,319.5,1100,cellpose,0.688,825
419.4,413.0,0.013,76,263.5,123.9,117.8,1.13,0.1105,IMG_5284.jpg,98.4,288413,0.978,319.3,1100,cellpose,0.688,825
378.8,339.5,0.078,90,312.1,125.9,112.6,0.9978,0.1182,IMG_5285.jpg,90.1,288413,0.98,319.2,1100,cellpose,0.688,825
396.1,396.0,0.039,76,261.8,128.1,110.4,1.1302,0.1037,IMG_5286.jpg,94.7,290273,0.979,320.3,1100,cellpose,0.688,825
413.0,411.5,0.022,180,620.1,118.1,132.2,1.2494,0.2561,IMG_5287.jpg,106.2,290273,0.976,320.6,1100,cellpose,0.688,825
410.5,409.0,0.027,111,382.4,118.7,131.9,1.0854,0.157,IMG_5288.jpg,89.2,290273,0.978,320.9,1100,cellpose,0.688,825
411.1,408.5,0.0,92,316.9,124.0,126.7,1.0212,0.1303,IMG_5289.jpg,81.3,290273,0.98,320.7,1100,cellpose,0.688,825
468.4,463.5,0.0,94,325.9,113.8,141.8,1.0461,0.1527,IMG_5290.jpg,84.0,288413,0.975,319.0,1100,cellpose,0.688,825
378.3,349.0,0.122,49,167.7,137.7,102.7,0.9339,0.0634,IMG_5291.jpg,81.7,292201,0.978,321.6,1100,cellpose,0.688,825
272.2,267.0,0.034,87,301.7,146.0,97.4,0.954,0.0821,IMG_5292.jpg,57.5,288413,0.974,319.4,1100,cellpose,0.688,825
365.0,354.0,0.0,50,173.4,130.5,118.2,0.9603,0.0633,IMG_5293.jpg,84.8,288413,0.981,319.2,1100,cellpose,0.688,825
395.1,371.0,0.0,112,388.3,120.4,125.2,1.1646,0.1534,IMG_5294.jpg,112.3,288413,0.98,319.3,1100,cellpose,0.688,825
345.9,316.5,0.034,58,201.1,125.1,114.4,0.8117,0.0696,IMG_5295.jpg,82.9,288413,0.976,319.4,1100,cellpose,0.688,825
415.4,446.0,0.028,36,118.5,142.6,95.0,0.9622,0.0492,IMG_5319.jpg,81.2,303809,0.987,328.0,1100,cellpose,0.688,825
245.9,206.0,0.036,28,95.8,142.1,94.1,0.8313,0.0236,IMG_5320.jpg,78.8,292201,0.982,321.6,1100,cellpose,0.688,825
471.5,469.0,0.0,35,118.2,142.2,96.1,1.0237,0.0557,IMG_5321.jpg,72.7,296025,0.983,323.7,1100,cellpose,0.688,825
558.5,568.0,0.0,32,108.8,129.9,116.5,1.2554,0.0608,IMG_5322.jpg,75.6,294137,0.983,323.1,1100,cellpose,0.688,825
276.4,221.0,0.135,37,126.6,150.0,87.6,0.7196,0.035,IMG_5323.jpg,65.7,292201,0.982,321.3,1100,cellpose,0.688,825
315.1,226.0,0.083,24,82.1,147.0,93.3,0.7526,0.0259,IMG_5324.jpg,77.5,292201,0.983,321.4,1100,cellpose,0.688,825
496.5,532.0,0.0,31,105.4,128.9,123.4,0.9251,0.0523,IMG_5325.jpg,83.3,294137,0.977,322.3,1100,cellpose,0.688,825
438.2,415.0,0.0,31,104.7,132.8,111.9,1.0779,0.0459,IMG_5326.jpg,89.3,296025,0.98,323.8,1100,cellpose,0.688,825
468.6,486.0,0.0,31,106.1,128.2,118.8,0.9733,0.0497,IMG_5327.jpg,76.7,292201,0.979,321.5,1100,cellpose,0.688,825
486.4,468.0,0.023,43,154.1,120.4,124.9,1.1011,0.075,IMG_5345.jpg,95.4,278985,0.984,314.4,1100,cellpose,0.688,825
407.1,405.0,0.03,33,116.7,148.5,95.9,1.0083,0.0475,IMG_5346.jpg,106.7,282697,0.983,316.0,1100,cellpose,0.688,825
350.0,316.5,0.16,50,174.5,150.3,91.9,0.7059,0.0611,IMG_5347.jpg,99.1,286453,0.986,318.9,1100,cellpose,0.688,825
521.5,509.0,0.0,40,140.6,127.5,131.6,1.0592,0.0733,IMG_5348.jpg,94.9,284565,0.986,317.9,1100,cellpose,0.688,825
